"filename", "language", "JSON", "Markdown", "YAML", "JavaScript", "Python", "pip requirements", "XML", "Vue", "CSS", "SCSS", "HTML", "JSON with Comments", "comment", "blank", "total"
"d:\LLMProjects\Kura-AI\README.md", "Markdown", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 236
"d:\LLMProjects\Kura-AI\app\__init__.py", "Python", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 11, 70
"d:\LLMProjects\Kura-AI\app\api\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"d:\LLMProjects\Kura-AI\app\api\v1\__init__.py", "Python", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"d:\LLMProjects\Kura-AI\app\api\v1\apis\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\apis\apis.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 15, 68
"d:\LLMProjects\Kura-AI\app\api\v1\auditlog\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\auditlog\auditlog.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"d:\LLMProjects\Kura-AI\app\api\v1\base\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\base\base.py", "Python", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 21, 168
"d:\LLMProjects\Kura-AI\app\api\v1\depts\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\depts\depts.py", "Python", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 13, 49
"d:\LLMProjects\Kura-AI\app\api\v1\menus\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\menus\menus.py", "Python", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 16, 64
"d:\LLMProjects\Kura-AI\app\api\v1\multimodal_kb\__init__.py", "Python", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\LLMProjects\Kura-AI\app\api\v1\multimodal_kb\multimodal_kb.py", "Python", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 5, 15, 71
"d:\LLMProjects\Kura-AI\app\api\v1\roles\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\roles\roles.py", "Python", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 18, 74
"d:\LLMProjects\Kura-AI\app\api\v1\user_agents\__init__.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"d:\LLMProjects\Kura-AI\app\api\v1\user_agents\chat.py", "Python", 0, 0, 0, 0, 493, 0, 0, 0, 0, 0, 0, 0, 56, 48, 597
"d:\LLMProjects\Kura-AI\app\api\v1\user_agents\kb.py", "Python", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 12, 85
"d:\LLMProjects\Kura-AI\app\api\v1\user_agents\user_agents.py", "Python", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 17, 130
"d:\LLMProjects\Kura-AI\app\api\v1\users\__init__.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\LLMProjects\Kura-AI\app\api\v1\users\users.py", "Python", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 18, 85
"d:\LLMProjects\Kura-AI\app\chat\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\LLMProjects\Kura-AI\app\chat\agent_service.py", "Python", 0, 0, 0, 0, 643, 0, 0, 0, 0, 0, 0, 0, 40, 78, 761
"d:\LLMProjects\Kura-AI\app\chat\attachment_bm25_search.py", "Python", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 1, 27, 235
"d:\LLMProjects\Kura-AI\app\chat\attachment_service.py", "Python", 0, 0, 0, 0, 442, 0, 0, 0, 0, 0, 0, 0, 4, 65, 511
"d:\LLMProjects\Kura-AI\app\chat\attachment_tools.py", "Python", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 12, 78
"d:\LLMProjects\Kura-AI\app\chat\cache.py", "Python", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 18, 100
"d:\LLMProjects\Kura-AI\app\chat\chat_job.py", "Python", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 21, 41, 269
"d:\LLMProjects\Kura-AI\app\chat\database.py", "Python", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 22, 82
"d:\LLMProjects\Kura-AI\app\chat\db_models.py", "Python", 0, 0, 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 7, 43, 257
"d:\LLMProjects\Kura-AI\app\chat\memory_archive.py", "Python", 0, 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 3, 40, 273
"d:\LLMProjects\Kura-AI\app\chat\memory_scope.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\LLMProjects\Kura-AI\app\chat\memory_search.py", "Python", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 24, 204
"d:\LLMProjects\Kura-AI\app\chat\memory_tool.py", "Python", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 3, 12, 90
"d:\LLMProjects\Kura-AI\app\chat\memory_turns.py", "Python", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 10, 65
"d:\LLMProjects\Kura-AI\app\chat\message_codec.py", "Python", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 1, 19, 167
"d:\LLMProjects\Kura-AI\app\chat\milvus_memory.py", "Python", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 29, 210
